dep_delay,arr_delay
-5.090271458902032,-8.481714437367303
-3.444267515923567,-7.149545040946314
-3.369957537154989,-3.973142250530785
-3.1900212314225054,-4.4347133757961785
-3.0406050955414012,-2.8975583864118892
-0.3200636942675159,-1.286624203821656
-1.5212314225053076,-2.378980891719745
-2.819002123142251,-4.095541401273885
-4.511146496815287,-2.503715498938429
-1.4916135881104033,-6.037314225053079
-2.126857749469214,-1.7048832271762207
-0.08280254777070063,-4.991507430997877
-0.6449044585987261,-2.9382165605095545
-0.2802547770700637,-2.444267515923567
-0.3343949044585987,-1.2032908704883227
-0.3884819532908705,-1.3800424628450108
-0.11199575371549893,-3.3184713375796178
-1.4028662420382165,-2.5605095541401273
-2.01963906581741,-2.785562632696391
-1.2787154989384288,-0.4063163481953292
-0.8529723991507432,-0.8871549893842889
-1.669851380042463,-3.4810509554140125
-0.8121019108280255,-2.9018046709129512
-2.04723991507431,-3.6841825902335454
-1.2038216560509554,-4.346072186836518
-1.2624734607218684,-2.7754777070063694
-2.200636942675159,-1.3136942675159236
-0.6491507430997876,-5.333864118895966
-0.011093418259023357,-5.657324840764331
2.474256900212314,-4.812101910828026
0.42197452229299365,-3.7221337579617835
0.28715498938428874,-3.2988322717622087
0.4081740976645436,-0.12473460721868362
-0.43046709129511684,-0.9410828025477707
-1.3821656050955413,-1.7898089171974523
0.8381596906278433,-3.6815286624203822
-4.453461128860489,-7.224566408032861
-1.1549520766773163,-6.76975505857295
-3.826411075612353,-4.912353567625133
-3.023429179978701,-5.542066027689031
-3.636847710330138,-1.52678381256656
-0.7971246006389776,-2.5175718849840254
-1.5479233226837061,-3.1096911608093714
-2.11395101171459,-4.247071352502663
-4.214536741214058,-3.7917997870074553
-1.6260915867944623,-6.7993610223642165
-3.2124600638977636,-2.5399361022364215
-1.7326943556975507,-4.523961661341853
-1.2492012779552715,-4.094834930777423
-0.6773162939297125,-4.217784877529286
-0.2108626198083067,-2.6831735889243875
-2.120447284345048,-3.4041533546325877
-2.109158679446219,-4.573482428115016
-1.3828541001064962,-3.963525026624068
-2.7563897763578273,-3.8141640042598506
-2.1333333333333333,-4.3740681576144835
-0.9270500532481364,-3.7009052183173585
-1.0559105431309903,-4.576411075612354
-0.37859424920127793,-4.52555910543131
-2.174387646432375,-4.708200212992545
-1.648562300319489,-5.368477103301385
-1.97444089456869,-4.961661341853035
-1.9536741214057507,-1.7859424920127795
-1.198615548455804,-6.013844515441959
0.028221512247071336,-5.490681576144835
1.7502662406815763,-6.1658679446219375
0.8258785942492013,-3.077209797657082
-1.2156549520766773,-4.913738019169329
0.017039403620873278,-1.0207667731629393
-1.8035143769968052,-3.009584664536741
-1.6922257720979768,-2.0894568690095845
-0.786726000304275,-4.1916932907348246
-5.307142857142857,-8.669253004716262
-2.987220447284345,-8.914909478168264
-3.6458998935037275,-6.276943556975506
-3.0010649627263044,-5.005857294994676
-3.502662406815761,-1.769542066027689
-1.3466453674121406,-2.247603833865815
-1.6677316293929711,-4.226570820021299
-3.7108626198083066,-4.093184238551651
